,bodySite,count
0,72696002,431
1,,292
2,85562004,280
3,16982005,162
4,56459004,153
5,70258002,132
6,74670003,117
7,16953009,63
8,76752008,47
9,7569003,44
10,66019005,33
11,24136001,31
12,53840002,20
13,85050009,16
14,71341001,16
