,bodySite,count
0,72696002,529
1,,244
2,53840002,227
3,16982005,208
4,74670003,133
5,85562004,129
6,70258002,126
7,24136001,101
8,56459004,87
9,76752008,47
10,16953009,30
11,7569003,29
12,85050009,9
13,91470000,5
