,bodysite,count
0,,52489
1,69536005,31164
2,43799004,21669
3,12738006,14672
4,818981001,12307
5,80891009,12307
6,45048000,10140
7,76752008,9252
8,85562004,3720
9,421060004,3210
10,66019005,2856
11,816092008,2278
12,10200004,1986
13,72696002,1627
14,122496007,1624
15,56459004,1027
16,16982005,1024
17,122494005,906
18,70258002,884
19,41216001,822
20,64033007,649
21,16953009,589
22,24136001,516
23,1217257000,205
24,74670003,195
25,122495006,178
26,38266002,170
27,51299004,159
28,53840002,130
29,15776009,121
30,89546000,119
31,39607008,99
32,91609006,97
33,34402009,95
34,818982008,87
35,363654007,80
36,72410000,76
37,14975008,70
38,7569003,70
39,85050009,65
40,1217256009,56
41,71341001,52
42,69105007,49
43,15825003,47
44,69695003,17
45,68367000,10
46,54735007,9
47,661005,8
48,1217253001,6
49,361078006,3
50,78961009,3
51,417437006,2
52,89545001,1
