,bodysite,count
0,,50821
1,69536005,30388
2,43799004,21286
3,12738006,15230
4,80891009,13790
5,818981001,11647
6,45048000,10510
7,76752008,8386
8,85562004,3548
9,421060004,3260
10,66019005,2491
11,816092008,2091
12,122496007,1958
13,10200004,1839
14,72696002,1638
15,56459004,1035
16,122494005,1015
17,16982005,863
18,41216001,846
19,70258002,809
20,16953009,596
21,64033007,577
22,24136001,501
23,74670003,236
24,38266002,215
25,818982008,198
26,53840002,196
27,39607008,185
28,1217257000,183
29,15776009,176
30,51299004,152
31,122495006,148
32,91609006,124
33,89546000,110
34,71341001,106
35,15825003,90
36,85050009,78
37,7569003,74
38,363654007,57
39,1217256009,53
40,72410000,48
41,34402009,41
42,14975008,40
43,69105007,38
44,68367000,22
45,54735007,18
46,69695003,11
47,661005,6
48,774007,6
49,76505004,2
