,bodySite,count
0,72696002,431
1,85562004,377
2,,262
3,16982005,223
4,56459004,111
5,24136001,109
6,74670003,108
7,16953009,78
8,70258002,78
9,66019005,64
10,76752008,50
11,7569003,41
12,53840002,22
13,85050009,13
14,68367000,8
