,bodysite,count
0,,39086
1,69536005,31068
2,43799004,21653
3,12738006,14409
4,80891009,12274
5,818981001,12253
6,45048000,10138
7,76752008,9248
8,85562004,3720
9,421060004,3206
10,66019005,2856
11,816092008,2277
12,10200004,1985
13,72696002,1626
14,122496007,1619
15,56459004,1025
16,16982005,1024
17,122494005,892
18,70258002,884
19,41216001,821
20,64033007,649
21,16953009,589
22,24136001,516
23,1217257000,205
24,74670003,195
25,122495006,178
26,38266002,170
27,51299004,159
28,53840002,130
29,15776009,121
30,89546000,118
31,39607008,99
32,91609006,96
33,34402009,95
34,818982008,87
35,363654007,80
36,72410000,76
37,14975008,70
38,7569003,70
39,85050009,65
40,1217256009,56
41,71341001,52
42,69105007,49
43,15825003,47
44,69695003,17
45,68367000,10
46,54735007,9
47,661005,8
48,1217253001,6
49,78961009,3
50,361078006,3
51,417437006,2
